input,country,year,value
medium,CZ,2013,999618.0
medium,CZ,2014,996381.0
medium,CZ,2015,895872.0
medium,CZ,2016,847640.0
medium,CZ,2017,879180.0
medium,CZ,2018,912035.0
medium,CZ,2019,936250.0
medium,DE,2010,5510573.0
medium,DE,2011,5577577.0
medium,DE,2012,5769364.0
medium,DE,2013,5725068.0
medium,DE,2014,5907905.0
medium,DE,2015,5566732.0
medium,DE,2016,4652842.0
medium,DE,2017,4376253.0
medium,DE,2018,4657322.0
medium,DE,2019,4857744.0
medium,DK,2010,891111.0
medium,DK,2011,1002057.0
medium,DK,2012,1101500.0
medium,DK,2013,980090.0
medium,DK,2014,826504.0
medium,DK,2015,857243.0
medium,DK,2016,924984.0
medium,DK,2017,827972.0
medium,DK,2018,807870.0
medium,DK,2019,921959.0
medium,EE,2010,333509.0
medium,EE,2011,218800.0
medium,EE,2012,223667.0
medium,EE,2013,162914.0
medium,EE,2014,147740.0
medium,EE,2015,161440.0
medium,EE,2016,156720.0
medium,EE,2017,162194.0
medium,EE,2018,141126.0
medium,EE,2019,145886.0
medium,EL,2010,895754.0
medium,EL,2011,954554.0
medium,EL,2012,1063129.0
medium,EL,2013,1004874.0
medium,EL,2014,1072896.0
medium,EL,2015,1063537.0
medium,EL,2016,1022992.0
medium,EL,2017,1025174.0
medium,EL,2018,1014727.0
medium,EL,2019,990352.0
medium,ES,2010,6441309.0
medium,ES,2011,5752854.0
medium,ES,2012,7745930.0
medium,ES,2013,7819388.0
medium,ES,2014,7915886.0
medium,ES,2015,6630430.0
medium,ES,2016,6164530.0
medium,ES,2017,6401524.0
medium,ES,2018,6346739.0
medium,ES,2019,6280524.0
medium,FI,2010,714847.0
medium,FI,2011,665034.0
medium,FI,2012,830501.0
medium,FI,2013,854211.0
medium,FI,2014,811221.0
medium,FI,2015,756830.0
medium,FI,2016,856834.0
